Date,Open,High,Low,Close,Adj Close,Volume
12/3/2018,16.040001,25.940001,15.94,23.23,23.23,0
12/10/2018,23.950001,25.940001,20.34,21.629999,21.629999,0
12/17/2018,22.360001,31.35,21.969999,30.110001,30.110001,0
12/24/2018,29.290001,36.200001,27.43,28.34,28.34,0
12/31/2018,27.59,28.530001,21.190001,21.379999,21.379999,0
1/7/2019,22.059999,22.799999,18.120001,18.190001,18.190001,0
1/14/2019,19.84,20.27,17.17,17.799999,17.799999,0
1/21/2019,18.530001,22.02,17.309999,17.42,17.42,0
1/28/2019,18.559999,20.42,16.08,16.139999,16.139999,0
2/4/2019,16.719999,17.889999,15.04,15.72,15.72,0
2/11/2019,16.17,17.27,14.79,14.91,14.91,0
2/18/2019,15.65,16.16,13.51,13.51,13.51,0
2/25/2019,13.91,16.17,13.41,13.57,13.57,0
3/4/2019,13.77,18.33,13.38,16.049999,16.049999,0
3/11/2019,16.280001,16.43,12.5,12.88,12.88,0
3/18/2019,13.13,17.52,12.37,16.48,16.48,0
3/25/2019,17.76,17.85,13.64,13.71,13.71,0
4/1/2019,13.9,14.27,12.17,12.82,12.82,0
4/8/2019,13.55,14.39,11.95,12.01,12.01,0
4/15/2019,12.46,13.14,11.03,12.09,12.09,0
4/22/2019,13.21,14.3,12.08,12.73,12.73,0
4/29/2019,13.04,15.92,12.65,12.87,12.87,0
5/6/2019,12.89,23.379999,12.89,16.040001,16.040001,0
5/13/2019,18.620001,21.32,14.86,15.96,15.96,0
5/20/2019,15.88,18.049999,14.42,15.85,15.85,0
5/27/2019,16.549999,19.719999,15.9,18.709999,18.709999,0
6/3/2019,19.41,19.75,15.33,16.299999,16.299999,0
6/10/2019,16.299999,16.700001,15.21,15.28,15.28,0
6/17/2019,15.65,16.030001,13.19,15.4,15.4,0
6/24/2019,15.46,16.68,15.08,15.08,15.08,0
7/1/2019,13.85,14.64,12.04,13.28,13.28,0
7/8/2019,13.73,14.71,12.28,12.39,12.39,0
7/15/2019,12.58,14.5,12.24,14.45,14.45,0
7/22/2019,14.55,14.7,11.69,12.16,12.16,0
7/29/2019,12.15,20.110001,12.15,17.610001,17.610001,0
8/5/2019,19.959999,24.809999,16.82,17.969999,17.969999,0
8/12/2019,17.870001,24.1,17.52,18.469999,18.469999,0
8/19/2019,17.93,21.07,15.51,19.870001,19.870001,0
8/26/2019,20.34,21.639999,17.09,18.98,18.98,0
9/2/2019,20.959999,21.15,14.91,15,15,0
9/9/2019,15.26,16.52,13.51,13.74,13.74,0
9/16/2019,14.89,15.84,13.31,15.32,15.32,0
